ID,B1,B2,B3,B4,1-MIN,RANDOM
/home/arianne/20190219/JK135666-0003.wav,33947,19458,70077,58421,60000,54550
/home/arianne/20190219/HAX1853-0001.wav,789,49272,126130,0,60000,131647
/home/arianne/20190219/JK135667-0022.wav,232,50387,113963,81037,60000,101333
/home/arianne/20190219/JK135667-0005.wav,41192,0,696,70681,60000,113947
/home/arianne/20190219/JK135667-0029.wav,218731,69056,156827,87817,60000,126824
/home/arianne/20190219/JK135668-0011.wav,115356,123251,70263,23127,60000,30028
/home/arianne/20190219/HAX1853-0021.wav,175078,81873,9427,0,60000,252588
/home/arianne/20190219/JK215477-0002.wav,0,240512,8591,101935,60000,156528
/home/arianne/20190219/JK135668-0005.wav,143034,62368,0,13003,60000,48826
/home/arianne/20190219/JK234026-0003.wav,40727,9148,71749,185573,60000,127864
/home/arianne/20190219/JK135668-0002.wav,135743,0,28235,193097,60000,55580
/home/arianne/20190219/JK135667-0001.wav,160031,214320,146053,0,60000,51458
/home/arianne/20190219/JK135670-0002.wav,52244,115496,31346,131610,60000,175846
/home/arianne/20190219/JK135667-0024.wav,29535,120186,0,7151,60000,3054
/home/arianne/20190219/JK135667-0010.wav,278,0,64179,111409,60000,94383
/home/arianne/20190219/HBX2087-0001.wav,80387,0,128359,139,60000,20997
/home/arianne/20190219/JK135667-0012.wav,121254,222075,85681,232,60000,48894
/home/arianne/20190219/JK135667-0023.wav,33947,119814,201131,62043,60000,142261
/home/arianne/20190219/JK154457-0003.wav,72074,8405,29907,41145,60000,80402
/home/arianne/20190219/JK176222-0001.wav,31300,3993,0,10356,60000,63766
/home/arianne/20190219/JK135667-0018.wav,71053,0,278,20433,60000,119215
/home/arianne/20190219/HCX1490-0001.wav,218546,236193,165976,102353,60000,59650
/home/arianne/20190219/JK135667-0003.wav,135279,216967,175357,232,60000,228953
/home/arianne/20190219/JK216338-0003.wav,0,35805,85774,169087,60000,145498
/home/arianne/20190219/JK135668-0018.wav,238050,174614,161610,0,60000,102860
/home/arianne/20190219/JK135667-0014.wav,70402,51919,11006,85588,60000,118736
/home/arianne/20190219/HAX1853-0002.wav,213066,0,234150,252725,60000,186389
/home/arianne/20190219/JK135666-0006.wav,69102,136254,0,41795,60000,58280
/home/arianne/20190219/JAX3145-0018.wav,0,60464,101146,8962,60000,57399
/home/arianne/20190219/JK135667-0009.wav,126966,9009,50155,188638,60000,56524
/home/arianne/20190219/JK135668-0001.wav,57446,95248,118096,192539,60000,55338
/home/arianne/20190219/HAX1853-0004.wav,69845,371,146889,0,60000,148457
/home/arianne/20190219/HCX1490-0005.wav,146935,0,91765,14024,60000,175620
/home/arianne/20190219/JK135667-0020.wav,10309,160774,80201,185,60000,166679
/home/arianne/20190219/JK135667-0007.wav,0,229923,199830,123948,60000,106141
/home/arianne/20190219/JK135668-0009.wav,92833,174892,0,233917,60000,208524
/home/arianne/20190219/JK135667-0017.wav,190032,74954,240698,153483,60000,130120
/home/arianne/20190219/JK135668-0004.wav,22987,138901,325,122972,60000,40372
/home/arianne/20190219/JK135666-0009.wav,133886,77183,0,156456,60000,119534
/home/arianne/20190219/JK135667-0015.wav,134211,50155,68080,149072,60000,190276
/home/arianne/20190219/JK135667-0002.wav,154087,0,63158,170666,60000,116844
/home/arianne/20190219/JK193539-0003.wav,0,278,135929,111177,60000,146335
/home/arianne/20190219/JK135666-0002.wav,0,53870,22894,140480,60000,174591
/home/arianne/20190219/JK135668-0003.wav,97291,129613,223608,249010,60000,164964
/home/arianne/20190219/JK135667-0025.wav,185,0,61579,16904,60000,83148
/home/arianne/20190219/JK135667-0013.wav,217431,48483,114845,96687,60000,20709
/home/arianne/20190219/JK135666-0004.wav,45139,19597,0,143452,60000,27693
/home/arianne/20190219/JK218358-0001.wav,28699,72539,93065,103050,60000,61362
/home/arianne/20190219/JK135667-0021.wav,131842,0,10959,38730,60000,138120
/home/arianne/20190219/JK135667-0011.wav,10634,234010,213298,95851,60000,148757
/home/arianne/20190219/JK135668-0006.wav,164211,9287,214087,177446,60000,214731
/home/arianne/20190219/JK155735-0002.wav,30418,154877,218453,55449,60000,34531
/home/arianne/20190219/JK135668-0013.wav,57585,0,88978,107694,60000,24203
/home/arianne/20190219/JK155735-0001.wav,60186,92,26424,0,60000,342075
/home/arianne/20190219/JK135666-0005.wav,100263,168205,153576,278,60000,95402
/home/arianne/20190219/JK135666-0001.wav,101656,207447,185527,47693,60000,66295
/home/arianne/20190219/JK135667-0004.wav,38080,189567,104814,129102,60000,30253
/home/arianne/20190219/HEX14751-0004.wav,134118,3668,19272,0,60000,138221
/home/arianne/20190219/JK135667-0019.wav,73328,0,11888,140666,60000,222245
/home/arianne/20190219/JK135667-0006.wav,265450,306085,112013,24380,60000,249363
